county,municipality,ctv,reporting_unit,year,office,district,party,candidate,votes
Adams,Wisconsin Dells,City,Ward 5,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,0
Adams,Wisconsin Dells,City,Ward 5,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,0
Adams,Wisconsin Dells,City,Ward 5,2002,governor,NA,Independent,Alan D Eisenberg,0
Adams,Wisconsin Dells,City,Ward 5,2002,governor,NA,Independent 2,Ty A Bollerud,0
Adams,Wisconsin Dells,City,Ward 5,2002,governor,NA,Independent 3,Mike Mangan,0
Adams,Wisconsin Dells,City,Ward 5,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Adams,Wisconsin Dells,City,Ward 5,2002,governor,NA,Scattering,Scattering,0
Ashland,Agenda,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,62
Ashland,Agenda,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,69
Ashland,Agenda,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,1
Ashland,Agenda,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,35
Ashland,Agenda,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Ashland,Agenda,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Ashland,Agenda,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Ashland,Agenda,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Ashland,Agenda,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Ashland,Ashland,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,112
Ashland,Ashland,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,45
Ashland,Ashland,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,6
Ashland,Ashland,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,10
Ashland,Ashland,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Ashland,Ashland,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Ashland,Ashland,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Ashland,Ashland,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Ashland,Ashland,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Ashland,Chippewa,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,52
Ashland,Chippewa,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,55
Ashland,Chippewa,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,3
Ashland,Chippewa,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,27
Ashland,Chippewa,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Ashland,Chippewa,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Ashland,Chippewa,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,1
Ashland,Chippewa,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Ashland,Chippewa,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Ashland,Gingles,Town,Wards 1 & 2,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,149
Ashland,Gingles,Town,Wards 1 & 2,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,48
Ashland,Gingles,Town,Wards 1 & 2,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,5
Ashland,Gingles,Town,Wards 1 & 2,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,7
Ashland,Gingles,Town,Wards 1 & 2,2002,governor,NA,Independent,Alan D Eisenberg,0
Ashland,Gingles,Town,Wards 1 & 2,2002,governor,NA,Independent 2,Ty A Bollerud,0
Ashland,Gingles,Town,Wards 1 & 2,2002,governor,NA,Independent 3,Mike Mangan,0
Ashland,Gingles,Town,Wards 1 & 2,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Ashland,Gingles,Town,Wards 1 & 2,2002,governor,NA,Scattering,Scattering,0
Ashland,Gordon,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,57
Ashland,Gordon,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,52
Ashland,Gordon,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,1
Ashland,Gordon,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,9
Ashland,Gordon,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,1
Ashland,Gordon,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,0
Ashland,Gordon,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,0
Ashland,Gordon,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Ashland,Gordon,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Ashland,Jacobs,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,96
Ashland,Jacobs,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,95
Ashland,Jacobs,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,1
Ashland,Jacobs,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,16
Ashland,Jacobs,Town,Ward 1,2002,governor,NA,Independent,Alan D Eisenberg,0
Ashland,Jacobs,Town,Ward 1,2002,governor,NA,Independent 2,Ty A Bollerud,1
Ashland,Jacobs,Town,Ward 1,2002,governor,NA,Independent 3,Mike Mangan,2
Ashland,Jacobs,Town,Ward 1,2002,governor,NA,Independent 4,Aneb Jab Rasta,0
Ashland,Jacobs,Town,Ward 1,2002,governor,NA,Scattering,Scattering,0
Ashland,La Pointe,Town,Ward 1,2002,governor,NA,Democratic,Jim Doyle / Barbara Lawton,100
Ashland,La Pointe,Town,Ward 1,2002,governor,NA,Republican,Scott McCallum / Margaret A Farrow,26
Ashland,La Pointe,Town,Ward 1,2002,governor,NA,Wisconsin Green,Jim Young / Jeff Peterson,10
Ashland,La Pointe,Town,Ward 1,2002,governor,NA,Libertarian,Ed thompson / M Reynolds,7
