county,county_fips,mcd_fips,municipality,ctv,year,office,party,candidate,votes,total_votes
ADAMS,55001,5500107300,BIG FLATS,T,2009,SUPREME COURT,LIBERAL,SHIRLEY S ABRAHAMSON,102,158
ADAMS,55001,5500107300,BIG FLATS,T,2009,SUPREME COURT,SCATTERING,SCATTERING,0,158
ADAMS,55001,5500107300,BIG FLATS,T,2011,SUPREME COURT,CONSERVATIVE,"DAVID T. PROSSER, JR.",142,293
ADAMS,55001,5500107300,BIG FLATS,T,2011,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,151,293
ADAMS,55001,5500107300,BIG FLATS,T,2011,SUPREME COURT,SCATTERING,SCATTERING,0,293
ADAMS,55001,5500107300,BIG FLATS,T,2013,SUPREME COURT,CONSERVATIVE,PAT ROGGENSACK,135,233
ADAMS,55001,5500107300,BIG FLATS,T,2013,SUPREME COURT,LIBERAL,ED FALLONE,98,233
ADAMS,55001,5500107300,BIG FLATS,T,2013,SUPREME COURT,SCATTERING,SCATTERING,0,233
ADAMS,55001,5500107300,BIG FLATS,T,2015,SUPREME COURT,CONSERVATIVE,JAMES P. DALEY,72,193
ADAMS,55001,5500107300,BIG FLATS,T,2015,SUPREME COURT,LIBERAL,ANN W. BRADLEY,121,193
ADAMS,55001,5500107300,BIG FLATS,T,2015,SUPREME COURT,SCATTERING,SCATTERING,0,193
ADAMS,55001,5500107300,BIG FLATS,T,2016,SUPREME COURT,CONSERVATIVE,REBECCA G. BRADLEY,191,336
ADAMS,55001,5500107300,BIG FLATS,T,2016,SUPREME COURT,LIBERAL,JOANNE F. KLOPPENBURG,144,336
ADAMS,55001,5500107300,BIG FLATS,T,2016,SUPREME COURT,SCATTERING,SCATTERING,1,336
ADAMS,55001,5500107300,BIG FLATS,T,2017,SUPREME COURT,CONSERVATIVE,ANNETTE ZIEGLER,87,87
ADAMS,55001,5500107300,BIG FLATS,T,2017,SUPREME COURT,SCATTERING,SCATTERING,0,87
ADAMS,55001,5500107300,BIG FLATS,T,2018,SUPREME COURT,CONSERVATIVE,MICHAEL SCRENOCK,74,159
ADAMS,55001,5500107300,BIG FLATS,T,2018,SUPREME COURT,LIBERAL,REBECCA DALLET,85,159
